Team," 
2000"," 
2001"," 
2002"," 
2003"," 
2004"," 
2005"," 
2006"," 
2007"," 
2008"," 
2009"," 
2010"," 
2011"," 
2012"," 
2013"," 
2014"," 
2015"
  Australia,7th,6th,,14th,13th,16th,11th,20th,6th,7th,6th,3rd,10th,4th,14th,7th
  Austria,13th,,,,22nd,23rd,21st,,,23rd,12th,20th,24th,12th,,10th
  Belarus,,,,27th,,,,,,,,,,,,
  Belgium,3rd,2nd,2nd,1st,1st,3rd,2nd,3rd,3rd,3rd,2nd,5th,2nd,1st,2nd,3rd
  Brazil,23rd,23rd,,,,,,16th,14th,14th,18th,27th,32nd,31st,27th,27th
  Canada,28th,26th,,,8th,17th,18th,10th,13th,27th,16th,,,23rd,17th,
  Chile,,,,,,,,18th,,,,,,,,
  China,,,,,,,30th,,,,,35th,,,,
  Costa Rica,,,,,,,,26th,,,24th,,,,,
  Croatia,17th,24th,,28th,25th,,29th,,,29th,,30th,,34th,32nd,30th
  Cyprus,,,,,,29th,,,,36th,,,,,,
  Czech Republic,9th,12th,8th,10th,16th,18th,16th,17th,25th,21st,,14th,21st,15th,25th,22nd
  Denmark,15th,19th,12th,12th,21st,20th,23rd,,20th,15th,,18th,18th,14th,15th,15th
  Dominican Republic,,,,,,,,30th,,,,,,,,
  Ecuador,,,,,,,,22nd,,,21st,,,,,
  Estonia,24th,11th,7th,8th,4th,6th,9th,11th,12th,8th,15th,10th,7th,10th,9th,4th
  Finland,8th,10th,3rd,3rd,6th,11th,10th,,11th,18th,14th,17th,20th,18th,16th,28th
  France,18th,1st,6th,9th,3rd,2nd,5th,2nd,2nd,2nd,7th,2nd,6th,5th,1st,1st
  Germany,10th,5th,16th,19th,11th,14th,13th,9th,10th,4th,3rd,7th,1st,7th,5th,9th
  Great Britain,4th,4th,,6th,9th,5th,6th,5th,4th,5th,4th,4th,8th,6th,4th,18th
  Greece,,30th,,,,28th,27th,25th,,32nd,,33rd,31st,36th,31st,32nd
  Guatemala,,,,,27th,25th,,23rd,,,26th,,,,,
  Hungary,27th,29th,,,,27th,26th,,,31st,,,28th,28th,26th,
  Iceland,,,,,,,,29th,30th,30th,30th,32nd,30th,37th,,
  Ireland,11th,14th,9th,7th,14th,22nd,31st,13th,21st,16th,20th,19th,13th,22nd,19th,17th
  Israel,,,,,,,,,,,,,,40th,34th,36th
  Italy,2nd,17th,1st,17th,15th,13th,4th,4th,5th,6th,5th,16th,5th,3rd,6th,14th
  Japan,6th,,,5th,17th,12th,12th,7th,17th,,19th,13th,26th,24th,22nd,20th
  Kuwait,,,,,,,,,,,,36th,,,,
  Latvia,16th,18th,13th,18th,23rd,26th,24th,15th,16th,17th,17th,22nd,14th,16th,12th,19th
  Lithuania,30th,31st,,26th,,,,,28th,35th,28th,31st,22nd,26th,24th,25th
  Luxembourg,,,,,26th,,,,,,,,,38th,33rd,34th
  Mexico,,,,,,,,27th,,,27th,,,,,
  Mongolia,,,,,,,,,32nd,33rd,,,,,,
  Morocco,,,17th,,,,,,,,,,,,,35th
  Netherlands,32nd,15th,,20th,2nd,7th,22nd,,18th,19th,,9th,4th,11th,10th,6th
  New Zealand,19th,3rd,,4th,7th,4th,3rd,,8th,11th,8th,29th,15th,20th,23rd,8th
  Norway,25th,22nd,,15th,20th,,20th,,27th,25th,,26th,17th,19th,,23rd
  Philippines,,,,,,,,,,,29th,,,,,
  Poland,,,,,,,,,,,,,,25th,28th,24th
  Portugal,14th,8th,14th,23rd,10th,8th,14th,19th,24th,13th,9th,11th,9th,17th,13th,16th
  Puerto Rico,,,,,,,,28th,19th,26th,10th,24th,23rd,21st,18th,33rd
  Romania,,,,,,,,,,,,,,32nd,,
  Russia,29th,21st,,21st,18th,24th,25th,,22nd,22nd,,15th,11th,8th,8th,12th
  Slovakia,,25th,,25th,,,15th,,29th,24th,,,,35th,29th,26th
  Slovenia,21st,13th,11th,16th,24th,21st,28th,,26th,28th,,23rd,16th,27th,20th,21st
  South Africa,5th,9th,,11th,5th,9th,7th,12th,15th,9th,,6th,27th,,,
  Spain,12th,16th,4th,24th,12th,10th,8th,6th,7th,12th,13th,8th,25th,13th,21st,11th
  Sweden,20th,7th,5th,13th,19th,19th,19th,14th,23rd,20th,22nd,21st,12th,30th,11th,13th
  Switzerland,22nd,20th,10th,22nd,,15th,18th,8th,9th,10th,11th,12th,19th,9th,7th,5th
  Thailand,,,,,,,,,,34th,,34th,33rd,39th,,
  USA,1st,,,2nd,,1st,1st,1st,1st,1st,1st,1st,3rd,2nd,3rd,2nd
  Ukraine,31st,28th,,,,,,21st,,,25th,28th,,29th,30th,31st
  Venezuela,26th,27th,15th,,,,,24th,31st,,23rd,25th,29th,33rd,,29th
